window,std_multiplier,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
15,1.8,-1.9548699999999837,-0.44976326369441577,1.0,0.4644495412844037,453,-0.9497632636944158
15,2.0,-1.9548699999999837,-0.44976326369441577,1.0,0.4644495412844037,453,-0.9497632636944158
15,2.2,-1.9548699999999837,-0.44976326369441577,1.0,0.4644495412844037,453,-0.9497632636944158
20,1.8,-1.419219999999983,-1.3162313604088545,1.0,0.46199524940617576,424,-1.8162313604088545
20,2.0,-1.419219999999983,-1.3162313604088545,1.0,0.46199524940617576,424,-1.8162313604088545
20,2.2,-1.419219999999983,-1.3162313604088545,1.0,0.46199524940617576,424,-1.8162313604088545
25,1.8,-2.2259789999999797,1.6923310674046117,1.0,0.46163215590742995,423,1.1923310674046117
25,2.0,-2.2259789999999797,1.6923310674046117,1.0,0.46163215590742995,423,1.1923310674046117
25,2.2,-2.2259789999999797,1.6923310674046117,1.0,0.46163215590742995,423,1.1923310674046117
30,1.8,-0.753986999999985,1.7157314345862766,1.0,0.4662576687116564,419,1.2157314345862766
30,2.0,-0.753986999999985,1.7157314345862766,1.0,0.4662576687116564,419,1.2157314345862766
30,2.2,-0.753986999999985,1.7157314345862766,1.0,0.4662576687116564,419,1.2157314345862766
