fast_window,slow_window,volume_threshold,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
3,10,1.2,2.348827000000003,1.8872530572204682,0.6054574455557895,0.44661921708185054,229,1.5845243344425735
3,10,1.5,3.324378000000019,2.0616814280660365,0.7257396283312416,0.45569620253164556,155,1.6988116139004157
3,10,2.0,0.9524340000000091,1.367909286445757,0.6103150797237943,0.46153846153846156,78,1.0627517465838598
3,20,1.2,0.8629970000000234,1.3102679503447725,0.6273787192493444,0.421875,200,0.9965785907201004
3,20,1.5,1.9930550000000171,2.1440751986282156,0.509727001211668,0.4555256064690027,139,1.8892116980223816
3,20,2.0,1.4104370000000033,1.7854121724653216,0.3583616601566718,0.448559670781893,81,1.6062313423869856
3,30,1.2,1.9254630000000115,1.8786959892223116,0.6253307725254265,0.44635193133047213,182,1.5660306029595983
3,30,1.5,1.7510899999999943,2.0141554139144286,0.5011984332852667,0.4782608695652174,130,1.7635561972717952
3,30,2.0,1.7851110000000008,2.3250007491817835,0.29161551984984324,0.4444444444444444,79,2.179192989256862
5,10,1.2,2.4645169999999963,1.8650905872321855,0.6671998548770689,0.4426229508196721,225,1.531490659793651
5,10,1.5,3.1616390000000103,1.9897146045135992,0.8005866858237525,0.4578005115089514,152,1.589421261601723
5,10,2.0,1.0004000000000108,1.4375516342681798,0.4625287605677543,0.4675925925925926,80,1.2062872539843026
5,20,1.2,1.2685520000000214,1.560826645762615,0.5656502194390312,0.4404040404040404,195,1.2780015360430994
5,20,1.5,2.139702000000025,2.37780246473038,0.37217783826083717,0.4606741573033708,137,2.1917135455999612
5,20,2.0,0.8968930000000132,1.3725529093719044,0.4978425062465298,0.45217391304347826,78,1.1236316562486395
5,30,1.2,2.456477000000005,2.392387085385967,0.4056650971651916,0.4622222222222222,178,2.1895545368033713
5,30,1.5,2.375630000000001,2.691031381969797,0.30498834519357676,0.47928994082840237,133,2.5385372093730085
5,30,2.0,1.988523000000007,2.5827149369304694,0.3156737605151351,0.44642857142857145,82,2.424878056672902
8,10,1.2,1.655082999999992,1.8090909928890586,0.40139669849744963,0.42748091603053434,219,1.6083926436403337
8,10,1.5,2.1678250000000103,2.095155902445626,0.47396995540028036,0.4450402144772118,150,1.8581709247454856
8,10,2.0,0.27518900000000723,0.8353535875156483,0.5191568267130063,0.4482758620689655,78,0.575775174159145
8,20,1.2,1.2191549999999916,1.5734881712618218,0.41148311811597355,0.43209876543209874,206,1.367746612203835
8,20,1.5,1.5997890000000006,2.109341912755586,0.3015675379492193,0.45217391304347826,144,1.9585581437809763
8,20,2.0,1.1120379999999996,1.7023615350765864,0.380791912751474,0.4484304932735426,84,1.5119655787008495
8,30,1.2,1.041503999999992,1.494843064739398,0.5437702888769176,0.4457013574660634,190,1.222957920300939
8,30,1.5,1.5014259999999944,2.106200488626098,0.3707105726438206,0.46846846846846846,137,1.9208452023041878
8,30,2.0,1.4468279999999984,2.21703987211088,0.23748534844260102,0.4507042253521127,84,2.0982971978895795
10,10,1.2,0.0,0.0,0.0,0.0,0,0.0
10,10,1.5,0.0,0.0,0.0,0.0,0,0.0
10,10,2.0,0.0,0.0,0.0,0.0,0,0.0
10,20,1.2,-0.1759470000000052,-1.1980156792378247,1.0,0.41935483870967744,205,-1.6980156792378247
10,20,1.5,0.9808190000000075,1.4757566857630868,0.4349937231652152,0.4415954415954416,146,1.2582598241804792
10,20,2.0,0.2638190000000024,0.8599176080206955,0.6856374521370249,0.43171806167400884,83,0.5170988819521831
10,30,1.2,-0.3816810000000092,1.3216900090681758,0.9540839555322148,0.43237250554323725,183,0.8446480313020683
10,30,1.5,0.9104399999999921,1.486540008776187,0.5044941530064095,0.4588235294117647,138,1.2342929322729823
10,30,2.0,1.173853999999998,1.898718660611497,0.35154331658175636,0.43636363636363634,86,1.7229470023206188
